Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
106,7.95,1,11.345,0.0,-3.79,0,20.11,102.5,106,1708967380.222,2024/02/26,17-09-40.222
106,7.95,2,1.85,0.0,-4.603,0,19.77,94.8,106,1708967380.222,2024/02/26,17-09-40.222
107,8.025,1,11.345,0.0,-3.79,0,20.11,102.5,107,1708967380.297,2024/02/26,17-09-40.297
107,8.025,2,1.85,0.0,-4.603,0,19.77,94.8,107,1708967380.297,2024/02/26,17-09-40.297
108,8.1,1,11.346,0.0,-3.83,0,20.11,102.5,108,1708967380.372,2024/02/26,17-09-40.372
108,8.1,2,1.85,0.0,-4.603,0,19.77,94.8,108,1708967380.372,2024/02/26,17-09-40.372
109,8.175,1,11.346,0.0,-3.83,0,20.11,102.5,109,1708967380.447,2024/02/26,17-09-40.447
109,8.175,2,1.85,0.0,-4.603,0,19.77,94.8,109,1708967380.447,2024/02/26,17-09-40.447
110,8.25,1,11.345,0.0,-3.79,0,20.11,102.5,110,1708967380.522,2024/02/26,17-09-40.522
110,8.25,2,1.85,0.0,-4.603,0,19.77,94.8,110,1708967380.522,2024/02/26,17-09-40.522
111,8.325,1,11.345,0.0,-3.79,0,20.11,102.5,111,1708967380.597,2024/02/26,17-09-40.597
111,8.325,2,1.85,0.0,-4.603,0,19.76,94.7,111,1708967380.597,2024/02/26,17-09-40.597
112,8.4,1,11.346,0.0,-3.83,0,20.11,102.5,112,1708967380.672,2024/02/26,17-09-40.672
112,8.4,2,1.85,0.0,-4.603,0,19.77,94.8,112,1708967380.672,2024/02/26,17-09-40.672
113,8.475,1,11.346,0.0,-3.83,0,20.11,102.5,113,1708967380.747,2024/02/26,17-09-40.747
113,8.475,2,1.85,0.0,-4.603,0,19.76,94.7,113,1708967380.747,2024/02/26,17-09-40.747
114,8.55,1,11.346,0.0,-3.83,0,20.11,102.5,114,1708967380.822,2024/02/26,17-09-40.822
114,8.55,2,1.85,0.0,-4.603,0,19.77,94.8,114,1708967380.822,2024/02/26,17-09-40.822
115,8.625,1,11.346,0.0,-3.83,0,20.11,102.5,115,1708967380.897,2024/02/26,17-09-40.897
115,8.625,2,1.85,0.0,-4.603,0,19.77,94.8,115,1708967380.897,2024/02/26,17-09-40.897
116,8.7,1,11.346,0.0,-3.83,0,20.11,102.5,116,1708967380.972,2024/02/26,17-09-40.972
116,8.7,2,1.85,0.0,-4.603,0,19.77,94.8,116,1708967380.972,2024/02/26,17-09-40.972
117,8.775,1,11.346,0.0,-3.83,0,20.11,102.5,117,1708967381.047,2024/02/26,17-09-41.047
117,8.775,2,1.85,0.0,-4.603,0,19.76,94.7,117,1708967381.047,2024/02/26,17-09-41.047
118,8.85,1,11.346,0.0,-3.83,0,20.11,102.5,118,1708967381.122,2024/02/26,17-09-41.122
118,8.85,2,1.85,0.0,-4.603,0,19.77,94.8,118,1708967381.122,2024/02/26,17-09-41.122
