Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
48,3.5999999999999996,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,48,1708923827.940,2024-02-26,14-3-47.940
49,3.675,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,49,1708923828.015,2024-02-26,14-3-48.15
49,3.675,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,49,1708923828.015,2024-02-26,14-3-48.15
49,3.675,1,1.181471E+00,0.000000E+00,1.252639E-01,0.000000E+00,1.758912E+01,5.740000E+01,49,1708923828.015,2024-02-26,14-3-48.15
50,3.75,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,50,1708923828.090,2024-02-26,14-3-48.90
50,3.75,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,50,1708923828.090,2024-02-26,14-3-48.90
51,3.8249999999999997,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,51,1708923828.165,2024-02-26,14-3-48.165
51,3.8249999999999997,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,51,1708923828.165,2024-02-26,14-3-48.165
52,3.9,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,52,1708923828.240,2024-02-26,14-3-48.240
52,3.9,1,7.590599E-01,0.000000E+00,-4.844000E+00,0.000000E+00,1.976808E+01,9.480000E+01,52,1708923828.240,2024-02-26,14-3-48.240
53,3.9749999999999996,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,53,1708923828.316,2024-02-26,14-3-48.316
53,3.9749999999999996,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,53,1708923828.316,2024-02-26,14-3-48.316
54,4.05,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,54,1708923828.391,2024-02-26,14-3-48.391
54,4.05,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,54,1708923828.391,2024-02-26,14-3-48.391
55,4.125,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,55,1708923828.466,2024-02-26,14-3-48.466
55,4.125,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,55,1708923828.466,2024-02-26,14-3-48.466
56,4.2,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,56,1708923828.541,2024-02-26,14-3-48.541
56,4.2,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,56,1708923828.541,2024-02-26,14-3-48.541
57,4.2749999999999995,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,57,1708923828.615,2024-02-26,14-3-48.615
57,4.2749999999999995,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,57,1708923828.615,2024-02-26,14-3-48.615
58,4.35,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,58,1708923828.690,2024-02-26,14-3-48.690
58,4.35,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,58,1708923828.690,2024-02-26,14-3-48.690
59,4.425,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,59,1708923828.765,2024-02-26,14-3-48.765
59,4.425,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,59,1708923828.765,2024-02-26,14-3-48.765
60,4.5,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,60,1708923828.840,2024-02-26,14-3-48.840
60,4.5,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,60,1708923828.840,2024-02-26,14-3-48.840
61,4.575,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,61,1708923828.915,2024-02-26,14-3-48.915
61,4.575,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,61,1708923828.915,2024-02-26,14-3-48.915
62,4.6499999999999995,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,62,1708923828.990,2024-02-26,14-3-48.990
62,4.6499999999999995,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,62,1708923828.990,2024-02-26,14-3-48.990
63,4.725,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,63,1708923829.065,2024-02-26,14-3-49.65
63,4.725,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.976808E+01,9.480000E+01,63,1708923829.065,2024-02-26,14-3-49.65
64,4.8,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,64,1708923829.140,2024-02-26,14-3-49.140
64,4.8,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,64,1708923829.140,2024-02-26,14-3-49.140
65,4.875,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,65,1708923829.215,2024-02-26,14-3-49.215
65,4.875,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,65,1708923829.215,2024-02-26,14-3-49.215
66,4.95,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,66,1708923829.290,2024-02-26,14-3-49.290
66,4.95,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,66,1708923829.290,2024-02-26,14-3-49.290
67,5.0249999999999995,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,67,1708923829.365,2024-02-26,14-3-49.365
67,5.0249999999999995,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,67,1708923829.365,2024-02-26,14-3-49.365
68,5.1,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,68,1708923829.440,2024-02-26,14-3-49.440
68,5.1,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,68,1708923829.440,2024-02-26,14-3-49.440
69,5.175,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,69,1708923829.516,2024-02-26,14-3-49.516
69,5.175,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,69,1708923829.516,2024-02-26,14-3-49.516
69,5.175,1,4.397334E+00,0.000000E+00,1.527839E+00,0.000000E+00,1.786041E+01,6.110000E+01,69,1708923829.516,2024-02-26,14-3-49.516
70,5.25,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,70,1708923829.591,2024-02-26,14-3-49.591
70,5.25,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,70,1708923829.591,2024-02-26,14-3-49.591
71,5.325,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,71,1708923829.666,2024-02-26,14-3-49.666
71,5.325,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,71,1708923829.666,2024-02-26,14-3-49.666
72,5.3999999999999995,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,72,1708923829.741,2024-02-26,14-3-49.741
72,5.3999999999999995,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,72,1708923829.741,2024-02-26,14-3-49.741
73,5.475,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,73,1708923829.816,2024-02-26,14-3-49.816
73,5.475,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,73,1708923829.816,2024-02-26,14-3-49.816
74,5.55,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,74,1708923829.891,2024-02-26,14-3-49.891
74,5.55,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,74,1708923829.891,2024-02-26,14-3-49.891
75,5.625,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,75,1708923829.965,2024-02-26,14-3-49.965
75,5.625,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,75,1708923829.965,2024-02-26,14-3-49.965
76,5.7,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.010724E+01,1.025000E+02,76,1708923830.040,2024-02-26,14-3-50.40
76,5.7,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,76,1708923830.040,2024-02-26,14-3-50.40
77,5.7749999999999995,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,77,1708923830.115,2024-02-26,14-3-50.115
77,5.7749999999999995,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,77,1708923830.115,2024-02-26,14-3-50.115
78,5.85,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,78,1708923830.190,2024-02-26,14-3-50.190
78,5.85,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,78,1708923830.190,2024-02-26,14-3-50.190
79,5.925,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,79,1708923830.265,2024-02-26,14-3-50.265
79,5.925,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,79,1708923830.265,2024-02-26,14-3-50.265
80,6.0,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,80,1708923830.340,2024-02-26,14-3-50.340
80,6.0,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,80,1708923830.340,2024-02-26,14-3-50.340
81,6.075,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,81,1708923830.415,2024-02-26,14-3-50.415
81,6.075,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,81,1708923830.415,2024-02-26,14-3-50.415
82,6.1499999999999995,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,82,1708923830.490,2024-02-26,14-3-50.490
82,6.1499999999999995,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,82,1708923830.490,2024-02-26,14-3-50.490
