073820.60,-36465.17759017664,6475.772412479944,-1.8506086005337181
073820.70,-36465.17825384935,6475.7700501997115,-1.8515651668940631
073820.80,-36465.17891743497,6475.767810127262,-1.8588973844977013
073820.90,-36465.179569897504,6475.765609280835,-1.844773793540451
073821.00,-36465.18015579507,6475.763403857429,-1.8419184124818457
073821.10,-36465.180771215375,6475.761287473412,-1.8528340196009971
073821.20,-36465.18137923092,6475.759181645176,-1.8563053117649004
073821.30,-36465.181994610866,6475.757119578032,-1.8542217633193172
073821.40,-36465.18257299107,6475.755083132514,-1.8449047588364629
073821.50,-36465.18314027794,6475.7530451724815,-1.8519626685507207
073821.60,-36465.183729703334,6475.751078139295,-1.8533937820243458
073821.70,-36465.184274731306,6475.7491382310845,-1.8431435762024566
073821.80,-36465.18479938254,6475.74724810103,-1.8450040793417732
073821.90,-36465.18533512145,6475.745368537918,-1.856898196920145
073822.00,-36465.185887456464,6475.743549338746,-1.8546524074946291
073822.10,-36465.18640097471,6475.741715026226,-1.8439380966083958
073822.20,-36465.18690336563,6475.739922950296,-1.8487026362089838
073822.30,-36465.1874075672,6475.738186699022,-1.8530226447708162
073822.40,-36465.18790065066,6475.736483636517,-1.8478742975605622
073822.50,-36465.188371531855,6475.734797151671,-1.8513273257319467
073822.60,-36465.1888590219,6475.733157452125,-1.853632793992101
