t,x,y,psi,v,
1706175553.973,47446.4063,-170592.2944,-1.41972507,0.7888,
1706175554.173,47446.4439,-170592.4495,-1.25279414,0.7014,
1706175554.624,47446.5923,-170592.7261,-0.96562707,0.7728,
1706175554.824,47446.6847,-170592.8365,-0.87394271,0.9168,
1706175554.973,47446.7864,-170592.9580,-0.83728700,0.8652,
1706175555.223,47446.8879,-170593.0463,-0.70336317,0.7478,
1706175555.474,47447.0725,-170593.2006,-0.59256985,0.6592,
1706175555.622,47447.1369,-170593.2336,-0.44360990,0.6241,
1706175555.822,47447.2843,-170593.2994,-0.43208416,0.7860,
1706175556.022,47447.4224,-170593.3652,-0.33202785,0.7545,
1706175556.222,47447.5696,-170593.3977,-0.18655644,0.7907,
1706175556.477,47447.7811,-170593.4299,-0.11969651,0.6993,
1706175556.920,47448.0567,-170593.4285,0.12505115,0.6958,
1706175557.120,47448.1944,-170593.4057,0.29834353,0.8891,
1706175557.271,47448.3411,-170593.3494,0.31705570,0.8554,
1706175557.522,47448.4788,-170593.3266,0.35083309,0.6732,
1706175557.719,47448.6163,-170593.2593,0.51248309,0.6901,
1706175557.919,47448.7170,-170593.1922,0.56721617,0.6244,
1706175558.119,47448.8269,-170593.1251,0.66359689,0.7855,
1706175558.269,47448.9275,-170593.0359,0.73632786,0.7545,
1706175558.470,47449.0098,-170592.9578,0.81219165,0.5429,
1706175558.917,47449.1558,-170592.7463,1.04181936,0.6794,
1706175559.118,47449.2286,-170592.6239,1.15533404,0.7297,
1706175559.317,47449.2738,-170592.4795,1.31804910,0.7952,
1706175559.469,47449.3008,-170592.3573,1.38725487,0.7497,
1706175559.716,47449.3184,-170592.2019,1.48130869,0.6212,
1706175559.916,47449.3269,-170592.0799,1.45280071,0.7353,
1706175560.065,47449.3447,-170591.9578,1.47867275,0.7311,
1706175560.267,47449.3441,-170591.8358,1.54474539,0.5339,
1706175560.515,47449.3527,-170591.7248,1.49325680,0.5101,
1706175560.866,47449.3056,-170591.5032,2.04411755,0.7159,
1706175561.115,47449.2407,-170591.3815,2.05208253,0.7007,
1706175561.313,47449.1664,-170591.2377,2.17764275,0.8272,
1706175561.962,47448.7880,-170590.8957,2.49954907,0.8179,
1706175562.162,47448.6590,-170590.8187,2.57438015,0.6193,
1706175562.312,47448.5944,-170590.7747,2.63036293,0.5998,
1706175562.611,47448.3827,-170590.6870,2.74362309,0.7269,
1706175562.811,47448.2538,-170590.6322,2.84851093,0.8335,
1706175562.962,47448.1158,-170590.5997,2.91381116,0.8136,
1706175563.210,47447.9686,-170590.5671,3.01257521,0.6776,
1706175563.559,47447.6748,-170590.6019,-2.87571882,0.8524,
1706175563.810,47447.5371,-170590.6248,-2.88265306,0.6477,
1706175564.010,47447.3995,-170590.6699,-2.84344635,0.7699,
1706175564.209,47447.2435,-170590.7150,-2.80915182,0.7801,
1706175564.408,47447.1060,-170590.7712,-2.64098104,0.7592,
1706175564.608,47446.9778,-170590.8606,-2.51547699,0.7625,
1706175564.808,47446.8589,-170590.9499,-2.54592399,0.7486,
1706175565.007,47446.7306,-170591.0282,-2.44102061,0.7801,
1706175565.207,47446.6210,-170591.1508,-2.23570898,0.8137,
1706175565.407,47446.5298,-170591.2844,-2.21319327,0.7997,
1706175565.607,47446.4294,-170591.4069,-2.06924805,0.7621,
1706175566.008,47446.3390,-170591.6958,-1.87410331,0.9115,
1706175566.155,47446.2938,-170591.8402,-1.80452097,0.8894,
1706175566.405,47446.2854,-170592.0067,-1.63279242,0.8250,
1706175566.654,47446.2683,-170592.2508,-1.66917786,0.8393,
1706175566.754,47446.2595,-170592.3285,-1.63957859,0.7468,
1706175567.004,47446.2695,-170592.4948,-1.39772515,0.7042,
1706175567.205,47446.3070,-170592.6388,-1.31615055,0.7422,
1706175567.554,47446.4186,-170592.9045,-1.00510399,0.9075,
1706175567.853,47446.5575,-170593.1034,-0.91413723,0.5902,
1706175568.003,47446.6037,-170593.1586,-0.77804413,0.6384,
1706175568.202,47446.7329,-170593.2689,-0.67411970,0.9855,
1706175568.352,47446.8620,-170593.3681,-0.62276610,0.9347,
1706175568.602,47447.0095,-170593.4561,-0.51711229,0.6924,
1706175569.001,47447.2397,-170593.5658,-0.23182642,0.5120,
1706175569.301,47447.4237,-170593.6092,-0.27917479,0.6882,
1706175569.500,47447.5617,-170593.6529,-0.19404790,0.7047,
1706175569.700,47447.6996,-170593.6633,0.00510044,0.6891,
1706175569.900,47447.8373,-170593.6515,0.08282192,0.7161,
1706175570.099,47447.9843,-170593.6397,0.12119831,0.7188,
1706175570.499,47448.2595,-170593.5495,0.42168188,0.7554,
1706175570.698,47448.3970,-170593.4934,0.47336711,0.7998,
1706175570.898,47448.5435,-170593.4039,0.64819481,0.8324,
1706175571.098,47448.6624,-170593.2923,0.70103610,0.7801,
1706175571.297,47448.7814,-170593.2030,0.71119616,0.7222,
1706175571.500,47448.8819,-170593.1026,0.62017059,0.7265,
1706175571.652,47448.9827,-170593.0467,0.50416143,0.7169,
1706175571.947,47449.1476,-170592.9571,0.33973610,0.4580,
1706175572.097,47449.2027,-170592.9457,0.44405924,0.6090,
1706175572.247,47449.3126,-170592.8786,0.54820312,0.6978,
1706175572.496,47449.4042,-170592.8227,0.57071016,0.5893,
1706175572.695,47449.5233,-170592.7444,0.60946190,0.7580,
1706175572.948,47449.6880,-170592.6216,0.36378539,0.6937,
1706175573.147,47449.8166,-170592.6098,0.28958167,0.5483,
1706175573.294,47449.8807,-170592.5762,0.28288502,0.5621,
1706175573.496,47450.0185,-170592.5644,0.17141981,0.7823,
1706175573.746,47450.2387,-170592.5078,0.32065544,0.8168,
1706175573.945,47450.3762,-170592.4517,0.34448837,0.6153,
1706175574.093,47450.4496,-170592.4291,0.44102364,0.5950,
1706175574.293,47450.5687,-170592.3509,0.61317941,0.7240,
1706175574.495,47450.6876,-170592.2615,0.66344388,0.7273,
1706175574.692,47450.7974,-170592.1722,0.68802003,0.7338,
1706175574.991,47450.9713,-170592.0271,0.78563883,0.7942,
1706175575.191,47451.0809,-170591.9045,0.84110391,0.8222,
1706175575.391,47451.1905,-170591.7820,0.89432369,0.8419,
1706175575.552,47451.2726,-170591.6706,0.96681354,0.7533,
1706175575.790,47451.3455,-170591.5482,1.02379968,0.8529,
1706175575.944,47451.4275,-170591.4147,1.07807389,0.8421,
1706175576.389,47451.4997,-170591.1481,1.40451859,0.6738,
1706175576.591,47451.5174,-170591.0149,1.47306861,0.6658,
1706175576.791,47451.5259,-170590.8818,1.50394920,0.6439,
1706175576.988,47451.5344,-170590.7597,1.64497743,0.6421,
1706175577.189,47451.5062,-170590.6267,1.82199982,0.8119,
1706175577.340,47451.4688,-170590.4938,1.85742522,0.7468,
1706175577.587,47451.4314,-170590.3831,1.97457924,0.7290,
1706175577.738,47451.3757,-170590.2614,2.03658152,0.7305,
1706175578.237,47451.1907,-170590.0183,2.26765028,0.5825,
